joint_index,joint_name,action_rad_min,action_rad_max,action_serial_min,action_serial_max,requested_norm_min,requested_norm_max,pre_clamp_serial_min,pre_clamp_serial_max,final_serial_min,final_serial_max,final_deg_min,final_deg_max
0,pinky,1.396263,3.279562,799.9997699027487,1879.050612514833,0.04545433627522605,1.0264096477407572,799.9997699027487,1879.050612514833,900.0,1740.0,90.0,174.0
1,ring,1.396263,3.243944,799.9997699027487,1858.643001767863,0.04545433627522605,1.007857274334421,799.9997699027487,1858.643001767863,900.0,1740.0,90.0,174.0
2,middle,1.396263,3.316126,799.9997699027487,1900.0002413359964,0.04545433627522605,1.0454547648509058,799.9997699027487,1900.0002413359964,900.0,1740.0,90.0,174.0
3,index,1.396263,3.316126,799.9997699027487,1900.0002413359964,0.04545433627522605,1.0454547648509058,799.9997699027487,1900.0002413359964,900.0,1740.0,90.0,174.0
4,thumb_bend,2.364084,2.55009,1354.5203561440571,1461.093943785161,0.6363008903601428,0.9027348594629023,1354.5203561440571,1461.093943785161,1350.0,1350.0,135.0,135.0
5,thumb_rotation,1.658063,3.027008,950.0001206679982,1734.3478295233629,0.1743707057648812,0.9999998729810545,950.0001206679982,1734.3478295233629,950.0001206679982,1734.3478295233629,95.00001206679983,173.4347829523363
