joint_index,joint_name,lower_limit_serial,upper_limit_serial,lower_clamp_hit_pct,upper_clamp_hit_pct,changed_by_clamp_pct,final_constant_step_pct,final_unique_values
0,pinky,900,1740,46.7032967032967,35.16483516483517,81.86813186813187,81.5426997245179,67
1,ring,900,1740,51.64835164835166,28.57142857142857,80.21978021978022,79.88980716253444,74
2,middle,900,1740,51.92307692307693,23.626373626373624,75.54945054945054,75.20661157024794,91
3,index,900,1740,51.64835164835166,24.175824175824175,75.82417582417582,75.48209366391184,90
4,thumb_bend,1100,1350,0.0,100.0,100.0,100.0,1
5,thumb_rotation,600,1800,0.0,0.0,0.0,19.834710743801654,291
