pair,joint,mae,rmse,p95_abs,max_abs,signed_mean,worst_episode_frame,worst_timestamp_sec,best_fit_lag_samples,best_fit_lag_rmse
arm_A_action_minus_B_command,j1,0.024961054148267794,0.2596295635783828,0.0018728762307134161,4.022894766509481,-0.024678904976239445,1,0.005409470992162824,12,0.16055362113803123
arm_A_action_minus_B_command,j2,0.006260556201149446,0.0585577620855622,0.0025674154939849814,0.9159862653596775,0.005975430166612227,1,0.005409470992162824,0,0.0585577620855622
arm_A_action_minus_B_command,j3,0.01077224664962061,0.10564276162931595,0.0037132434864384223,1.6389040228912766,-0.010060432130749274,1,0.005409470992162824,6,0.09719798918247521
arm_A_action_minus_B_command,j4,0.07967424954162891,0.8193365648016994,0.012244152408444009,12.830149582616166,0.07549046857948352,1,0.005409470992162824,11,0.5471704480282388
arm_A_action_minus_B_command,j5,0.01594307059894056,0.16227540034382074,0.006015040738827082,2.630165499100798,0.014880815904568818,1,0.005409470992162824,2,0.1598479459517711
arm_A_action_minus_B_command,j6,0.016649018770713956,0.16498661672619228,0.006229508860213784,2.778785787188953,0.014946611269964863,1,0.005409470992162824,0,0.16498661672619228
arm_B_command_minus_C_actual,j1,0.36797640686752164,0.6530300837178135,1.1543727709989113,4.266340439372939,-0.0101498594718809,6,0.16653633903479204,42,0.049994975392049286
arm_B_command_minus_C_actual,j2,0.3832608241911876,0.5720949914017863,1.332125634971316,2.054856567492081,0.029552679873959473,335,11.133624872018117,42,0.030208569774758595
arm_B_command_minus_C_actual,j3,0.3507868917205226,0.4743859502365648,1.0320629879192165,1.654720104167346,-0.022302849139640542,5,0.1501006439793855,42,0.030053942171983535
arm_B_command_minus_C_actual,j4,1.2062521541621272,2.1182372015600417,4.277564365427649,12.97162809480314,-0.02402284463401022,6,0.16653633903479204,43,0.1611050330591946
arm_B_command_minus_C_actual,j5,0.5937585530100136,0.773217664908306,1.6253993878303525,2.7347015447016645,-0.020926802906843938,310,10.307205784018151,42,0.05775657580796892
arm_B_command_minus_C_actual,j6,0.7088523912316094,1.0052704043294192,2.356346519809633,3.123817629426391,-0.1012746407911408,312,10.367893684015144,42,0.07791351830941516
arm_A_action_minus_C_actual,j1,0.3928322141849446,0.7494929826221612,1.185943971666397,4.266340439372939,-0.034828764448120324,6,0.16653633903479204,54,0.1694824408215744
arm_A_action_minus_C_actual,j2,0.3894727126750926,0.5785735364523406,1.332125634971316,2.054856567492081,0.035528110040571693,335,11.133624872018117,43,0.06217344015270516
arm_A_action_minus_C_actual,j3,0.3615032199124379,0.4981515683346086,1.0575668620724312,1.7002967009078027,-0.03236328127038981,2,0.06648827798198909,46,0.09702571285624395
arm_A_action_minus_C_actual,j4,1.2856661112877512,2.4154389755931116,4.356876115643939,13.191747484664404,0.05146762394547345,2,0.06648827798198909,53,0.574305153499738
arm_A_action_minus_C_actual,j5,0.6094096432366148,0.80625642501599,1.7809010083017718,2.781183544701662,-0.006045987002275115,310,10.301866543013602,45,0.16034581899530434
arm_A_action_minus_C_actual,j6,0.725112694107415,1.0320620347364828,2.447190745289097,3.140167519725999,-0.08632802952117594,312,10.367893684015144,44,0.17200658424854445
hand_j1_j5_A_action_minus_B_target,j1,0.03750689063148889,0.2813540666667326,0.004711066442879996,5.059102739446146,-0.03373399705627964,184,6.102177647990175,1,0.2756585887276009
hand_j1_j5_A_action_minus_B_target,j2,0.06429219898211945,0.5969648244468156,2.842170943040401e-14,10.172725259737334,-0.05926353706516802,176,5.834632930986118,1,0.46130372196281383
hand_j1_j5_A_action_minus_B_target,j3,0.06536850807848277,0.6061227120379353,2.842170943040401e-14,12.074788290801877,-0.049928768388778966,175,5.801225065020844,1,0.4860862204910288
hand_j1_j5_A_action_minus_B_target,j4,0.07000122065760839,0.6649341157274572,2.842170943040401e-14,12.104993929287929,-0.06232499871076678,175,5.801225065020844,2,0.5096421015773646
hand_j1_j5_A_action_minus_B_target,j5,0.004910456124084415,0.03669417520774049,0.007013969204649584,0.7604207693923115,-0.0018728266014172463,18,0.5678312770323828,0,0.03669417520774049
hand_j1_j5_B_target_minus_C_actual,j1,10.538751451445075,13.206909592622107,31.600023009725135,51.33186254982863,-3.8331767460967585,191,6.336855399014894,67,9.199706144643184
hand_j1_j5_B_target_minus_C_actual,j2,10.709384215132667,14.853736026807894,31.100023009725135,68.81106698575792,-5.030951008784107,176,5.839944935985841,80,9.44154040949427
hand_j1_j5_B_target_minus_C_actual,j3,13.89820452584178,21.959921559687015,54.600023009725135,81.60002300972513,-7.716049496426402,176,5.86197828699369,100,13.694309419281165
hand_j1_j5_B_target_minus_C_actual,j4,11.065447186942757,15.37296047830514,32.900023009725146,69.38153431220371,-4.643496252092984,176,5.839944935985841,77,10.065071144661497
