episode_frame,episode_time_sec,arm_A_action_j1,arm_A_action_j2,arm_A_action_j3,arm_A_action_j4,arm_A_action_j5,arm_A_action_j6,arm_B_command_j1,arm_B_command_j2,arm_B_command_j3,arm_B_command_j4,arm_B_command_j5,arm_B_command_j6,arm_C_actual_j1,arm_C_actual_j2,arm_C_actual_j3,arm_C_actual_j4,arm_C_actual_j5,arm_C_actual_j6,hand_A_action_j1,hand_A_action_j2,hand_A_action_j3,hand_A_action_j4,hand_A_action_j5,hand_A_action_j6,hand_B_target_j1,hand_B_target_j2,hand_B_target_j3,hand_B_target_j4,hand_B_target_j5,hand_B_target_j6,hand_C_actual_j1,hand_C_actual_j2,hand_C_actual_j3,hand_C_actual_j4,hand_C_actual_j5,hand_C_actual_j6,j6_hold_enabled,j6_action_deg,j6_effective_target_deg,j6_actual_deg
10,0.3333333432674408,100.80762686980488,100.21008918526293,-10.528844330662547,39.673030129346024,-83.27265462028262,16.110427283488487,100.80762686980488,100.21008918526293,-10.528844330662547,39.673030129346024,-83.27265462028262,16.110427283488487,102.567857,100.033556,-10.107422,34.558719,-83.361769,14.935394,170.4011433144571,165.6477708544928,143.07924978318724,147.20282703474376,139.54696497620571,151.55203506602282,170.4011433144571,165.6477708544928,143.0792497831872,147.20282703474373,139.54696497620571,179.8,170.3,166.0,143.6,148.2,134.9,179.8,True,151.55203506602282,179.8,179.8
11,0.36666667461395264,100.79169864310023,100.20940163590879,-10.52592224590738,39.64873671883248,-83.29689073501666,16.305519412730533,100.79169864310023,100.20940163590879,-10.52592224590738,39.64873671883248,-83.29689073501666,16.305519412730533,101.903312,100.159782,-10.348712,36.535365,-83.099648,15.252117,170.36888579059126,165.63556685345648,143.0756401490779,147.16323565110022,139.5359641865392,151.56103050340639,170.36888579059126,165.6355668534565,143.0756401490779,147.16323565110022,139.5359641865392,179.8,170.3,166.0,143.6,148.2,134.9,179.8,True,151.56103050340639,179.8,179.8
12,0.4000000059604645,100.7700981342238,100.23117403212375,-10.548840557712612,39.60249902476542,-83.33258600565331,16.44136770595605,100.7700981342238,100.23117403212375,-10.548840557712612,39.60249902476542,-83.33258600565331,16.44136770595605,101.417176,100.235518,-10.510299,37.972017,-82.971822,15.477415,170.32889333649112,165.61820623226404,143.06928031755194,147.0991216738251,139.5184889737877,151.52768435972976,170.32889333649112,165.61820623226404,143.06928031755197,147.0991216738251,139.5184889737877,179.8,170.3,166.0,143.6,148.2,134.9,179.8,True,151.52768435972976,179.8,179.8
13,0.4333333373069763,100.74660686462343,100.23163239835985,-10.552736670719502,39.61619271606905,-83.39881992677041,16.492933907517823,100.74660686462343,100.23163239835985,-10.552736670719502,39.61619271606905,-83.39881992677041,16.492933907517823,101.113943,100.26388,-10.577173,38.853471,-82.963071,15.633698,170.15975619536852,165.59666301916712,143.05633147138198,147.0619367129211,139.52249967835363,151.5147355135598,170.15975619536852,165.59666301916712,143.05633147138198,147.06193671292107,139.52249967835363,179.8,170.3,166.0,143.1,147.5,134.9,179.8,True,151.5147355135598,179.8,179.8
14,0.46666666865348816,100.70902083326284,100.25054000559918,-10.579551095531626,39.72992483840252,-83.5037857948384,16.545760616228886,100.70902083326284,100.25054000559918,-10.579551095531626,39.72992483840252,-83.5037857948384,16.545760616228886,100.959278,100.261386,-10.585361,39.293546,-83.029604,15.753204,169.8260082797048,165.5059065044184,143.11872657527175,146.92643219437267,139.38275527212122,151.08673604059706,169.8260082797048,165.5059065044184,143.11872657527175,146.92643219437267,139.38275527212122,179.8,170.3,166.0,143.1,147.5,134.9,179.8,True,151.08673604059706,179.8,179.8
15,0.5,100.68633170457568,100.27088000732631,-10.603558027147606,39.81861870508877,-83.5730563922697,16.658060344074528,100.68633170457568,100.27088000732631,-10.603558027147606,39.81861870508877,-83.5730563922697,16.658060344074528,100.886117,100.247673,-10.580448,39.492948,-83.130094,15.890185,169.32157623687164,165.29729257121124,143.15631260663233,146.85338007549348,139.08819766964444,149.82983852541858,169.32157623687164,165.29729257121124,143.15631260663233,146.85338007549348,139.08819766964444,179.8,170.3,166.0,143.1,147.5,134.9,179.8,True,149.82983852541858,179.8,179.8
16,0.5333333611488342,100.66198099828262,100.33963494274202,-10.659650595290913,39.86479910337631,-83.61574174800695,16.692036741325786,100.66198099828262,100.33963494274202,-10.659650595290913,39.86479910337631,-83.61574174800695,16.692036741325786,100.84697,100.230843,-10.571987,39.568104,-83.212289,16.035241,168.32846849057137,164.61323825960457,143.1680582414325,146.78279167513338,138.49805114065973,146.92820836353755,168.3284684905714,164.61323825960457,143.1680582414325,146.78279167513335,138.4980511406597,179.8,170.3,166.0,143.1,147.5,134.9,179.8,True,146.92820836353755,179.8,179.8
17,0.5666666626930237,100.65052184238,100.40804610348063,-10.718550656630361,39.93704908134231,-83.59024512612362,16.628266538727726,100.65052184238,100.40804610348063,-10.718550656630361,39.93704908134231,-83.59024512612362,16.628266538727726,100.814881,100.222739,-10.564617,39.611113,-83.271558,16.172331,167.18822518248152,163.7589581870645,143.19051818700166,146.75248220777092,137.64285433564746,141.90823864149885,167.18822518248152,163.7589581870645,143.19051818700163,146.75248220777092,137.64285433564743,179.8,170.3,166.0,143.1,147.5,134.9,179.8,True,141.90823864149885,179.8,179.8
18,0.6000000238418579,100.63161423514069,100.47897827851783,-10.769715787735546,40.089341263288084,-83.59162022483194,16.549828616574317,100.63161423514069,100.47897827851783,-10.769715787735546,40.089341263288084,-83.59162022483194,16.549828616574317,100.783435,100.224921,-10.561887,39.641523,-83.331012,16.313277,166.0173859281317,163.35359054700945,143.5560652602951,146.72583967029738,136.66017442121856,131.77530814727172,166.01738592813166,163.35359054700945,143.5560652602951,146.72583967029738,136.66017442121856,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,131.77530814727172,179.8,179.8
19,0.6333333253860474,100.60485710610807,100.6054300639032,-10.882244698699237,40.237164374431835,-83.60502743723801,16.546276278244505,100.60485710610807,100.6054300639032,-10.882244698699237,40.237164374431835,-83.60502743723801,16.546276278244505,100.757765,100.233336,-10.561887,39.667154,-83.386324,16.421502,164.64738654419435,162.46189633044736,143.77126820814624,146.55796303632403,136.2203147218966,118.21677758751639,164.64738654419438,162.46189633044736,143.7712682081462,146.55796303632403,136.2203147218966,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,118.21677758751639,179.8,179.8
20,0.6666666865348816,100.60227879602998,100.67831029544385,-10.939253999314756,40.23693519131378,-83.64943166636064,16.674905303251375,100.60227879602998,100.67831029544385,-10.939253999314756,40.23693519131378,-83.64943166636064,16.674905303251375,100.729848,100.249231,-10.564344,39.70799,-83.452176,16.516264,163.73489395966902,161.9368378069895,144.4364722082931,146.7914433378398,136.2381910051047,106.20993132853437,163.73489395966902,161.93683780698947,144.4364722082931,146.79144333783984,136.2381910051047,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,106.20993132853437,179.8,179.8
21,0.699999988079071,100.60617490903687,100.76517069718567,-11.020614006223331,40.173566059172316,-83.73692232167711,16.797632862968396,100.60617490903687,100.76517069718567,-11.020614006223331,40.173566059172316,-83.73692232167711,16.797632862968396,100.702894,100.281956,-10.581813,39.769679,-83.513978,16.580493,162.8763167036655,161.628242738532,145.62352616824518,147.4890194534116,135.80039395384526,95.00001206679983,162.8763167036655,161.62824273853204,145.62352616824518,147.4890194534116,135.80039395384523,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,95.00001206679983,179.8,179.8
22,0.7333333492279053,100.6290932208421,100.90537346965418,-11.155602862756155,39.993141649485615,-83.71171217869136,16.886842391670267,100.6290932208421,100.90537346965418,-11.155602862756155,39.993141649485615,-83.71171217869136,16.886842391670267,100.681716,100.322473,-10.61757,39.83745,-83.554632,16.609495,162.4852730084887,161.58945349580165,148.25775692713862,148.89402655863142,135.45673386832578,95.00001206679983,162.48527300848872,161.58945349580165,148.25775692713862,148.89402655863142,135.45673386832578,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,95.00001206679983,179.8,179.8
23,0.7666666507720947,100.65877243462988,101.020595282255,-11.256672617817232,39.68729677844478,-83.67406885155127,16.971124483334012,100.65877243462988,101.020595282255,-11.256672617817232,39.68729677844478,-83.67406885155127,16.971124483334012,100.661179,100.377639,-10.678165,39.922163,-83.583336,16.618591,162.33515806616444,161.5848698334406,150.5792673214497,149.034573105777,135.4520356144057,95.00001206679983,162.33515806616444,161.5848698334406,150.5792673214497,149.034573105777,135.4520356144057,179.8,169.8,165.8,143.0,146.8,134.9,179.8,True,95.00001206679983,179.8,179.8
24,0.800000011920929,100.67584657692478,101.16612656221822,-11.393781418192038,39.4232778264485,-83.5914483374934,16.84008903558759,100.67584657692478,101.16612656221822,-11.393781418192038,39.4232778264485,-83.5914483374934,16.84008903558759,100.645135,100.439038,-10.743674,40.002098,-83.59854,16.617031,162.2076749567478,161.50442655900426,152.8465759083414,149.57177833449168,135.70539755141255,95.00001206679983,162.2076749567478,161.50442655900423,152.8465759083414,149.57177833449168,135.70539755141255,179.8,164.7,162.9,143.9,146.7,134.9,179.8,True,95.00001206679983,179.8,179.8
25,0.8333333134651184,100.66112156158992,101.3315394776725,-11.553292868356458,39.33406829774663,-83.46236094625043,16.625860115988175,100.66112156158992,101.3315394776725,-11.553292868356458,39.33406829774663,-83.46236094625043,16.625860115988175,100.630054,100.524435,-10.817371,40.081163,-83.61516,16.624331,162.31894336056223,161.49783754436024,155.67074217632074,150.5197370065356,136.09976440180114,95.00001206679983,162.31894336056226,161.49783754436024,155.67074217632074,150.51973700653562,136.0997644018011,179.8,164.7,162.9,143.9,146.7,134.9,179.8,True,95.00001206679983,179.8,179.8
26,0.8666666746139526,100.61052938827986,101.53992422776156,-11.763110012933364,39.28977866018302,-83.32490837119855,16.513961458599127,100.61052938827986,101.53992422776156,-11.763110012933364,39.28977866018302,-83.32490837119855,16.513961458599127,100.621711,100.612325,-10.889703,40.117655,-83.634279,16.655242,163.18451070166637,161.6536247688563,158.87884746281725,152.15874007528686,136.48668280085295,95.00001206679983,163.18451070166637,161.6536247688563,158.87884746281725,152.15874007528686,136.48668280085295,179.8,164.7,162.9,143.9,146.7,134.9,179.8,True,95.00001206679983,179.8,179.8
27,0.8999999761581421,100.57403197673001,101.67090237972846,-11.893343319766604,39.2117418084862,-83.27254002872357,16.563808786775507,100.57403197673001,101.67090237972846,-11.893343319766604,39.2117418084862,-83.27254002872357,16.563808786775507,100.621069,100.710501,-10.969951,40.095934,-83.653317,16.710062,164.03879077420643,162.4181223548994,161.62360178039145,153.44331145197017,136.68160304275645,95.00001206679983,164.03879077420643,162.41812235489937,161.62360178039143,153.44331145197015,136.68160304275645,179.8,164.7,162.9,143.9,146.7,134.9,179.8,True,95.00001206679983,179.8,179.8
